Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
CAMBRIDGE SCHOOL54785,CAMBRIDGE SCHOOL,San Diego,San Diego,App,8,5,,
CAMBRIDGE SCHOOL54785,CAMBRIDGE SCHOOL,San Diego,San Diego,Adm,6,4,,
CAMPBELL HALL52133,CAMPBELL HALL,Studio City,Los Angeles,App,69,35,34,
CAMPBELL HALL52133,CAMPBELL HALL,Studio City,Los Angeles,Adm,42,18,24,
CAMPBELL HALL52133,CAMPBELL HALL,Studio City,Los Angeles,Enr,11,5,6,
CANTWELL/SACRED HEART MARY HS52020,CANTWELL/SACRED HEART MARY HS,Montebello,Los Angeles,App,38,17,21,
CANTWELL/SACRED HEART MARY HS52020,CANTWELL/SACRED HEART MARY HS,Montebello,Los Angeles,Adm,22,11,11,
CANTWELL/SACRED HEART MARY HS52020,CANTWELL/SACRED HEART MARY HS,Montebello,Los Angeles,Enr,14,7,7,
CAPISTRANO VALLEY CHRSTN SCH53114,CAPISTRANO VALLEY CHRSTN SCH,San Juan Capistrano,Orange,App,18,9,9,
CAPISTRANO VALLEY CHRSTN SCH53114,CAPISTRANO VALLEY CHRSTN SCH,San Juan Capistrano,Orange,Adm,17,8,9,
CAPISTRANO VALLEY CHRSTN SCH53114,CAPISTRANO VALLEY CHRSTN SCH,San Juan Capistrano,Orange,Enr,10,5,5,
CAPITAL CHRISTIAN HIGH SCHOOL52708,CAPITAL CHRISTIAN HIGH SCHOOL,Sacramento,Sacramento,App,21,7,14,
CAPITAL CHRISTIAN HIGH SCHOOL52708,CAPITAL CHRISTIAN HIGH SCHOOL,Sacramento,Sacramento,Adm,13,6,7,
CAPITAL CHRISTIAN HIGH SCHOOL52708,CAPITAL CHRISTIAN HIGH SCHOOL,Sacramento,Sacramento,Enr,8,4,4,
CARDINAL NEWMAN HIGH SCHOOL53326,CARDINAL NEWMAN HIGH SCHOOL,Santa Rosa,Sonoma,App,55,24,31,
CARDINAL NEWMAN HIGH SCHOOL53326,CARDINAL NEWMAN HIGH SCHOOL,Santa Rosa,Sonoma,Adm,30,12,18,
CARDINAL NEWMAN HIGH SCHOOL53326,CARDINAL NEWMAN HIGH SCHOOL,Santa Rosa,Sonoma,Enr,13,5,8,
CARNEGIE SCHOOLS RIVERSIDE52671,CARNEGIE SCHOOLS RIVERSIDE,Riverside,Riverside,App,10,,8,
CARNEGIE SCHOOLS RIVERSIDE52671,CARNEGIE SCHOOLS RIVERSIDE,Riverside,Riverside,Adm,9,,8,
CARNEGIE SCHOOLS RIVERSIDE52671,CARNEGIE SCHOOLS RIVERSIDE,Riverside,Riverside,Enr,4,,4,
CARONDELET HIGH SCHOOL50656,CARONDELET HIGH SCHOOL,Concord,Contra Costa,App,77,77,,
CARONDELET HIGH SCHOOL50656,CARONDELET HIGH SCHOOL,Concord,Contra Costa,Adm,39,39,,
CARONDELET HIGH SCHOOL50656,CARONDELET HIGH SCHOOL,Concord,Contra Costa,Enr,12,12,,
CASTILLEJA SCHOOL52330,CASTILLEJA SCHOOL,Palo Alto,Santa Clara,App,45,44,,
CASTILLEJA SCHOOL52330,CASTILLEJA SCHOOL,Palo Alto,Santa Clara,Adm,32,31,,
CASTILLEJA SCHOOL52330,CASTILLEJA SCHOOL,Palo Alto,Santa Clara,Enr,6,6,,
CATE SCHOOL50485,CATE SCHOOL,Carpinteria,Santa Barbara,App,36,18,18,
CATE SCHOOL50485,CATE SCHOOL,Carpinteria,Santa Barbara,Adm,21,13,8,
CATE SCHOOL50485,CATE SCHOOL,Carpinteria,Santa Barbara,Enr,3,3,,
CATHEDRAL CATHOLIC H S52896,CATHEDRAL CATHOLIC H S,San Diego,San Diego,App,166,96,66,
CATHEDRAL CATHOLIC H S52896,CATHEDRAL CATHOLIC H S,San Diego,San Diego,Adm,85,52,30,3
CATHEDRAL CATHOLIC H S52896,CATHEDRAL CATHOLIC H S,San Diego,San Diego,Enr,49,33,16,
CATHEDRAL HIGH SCHOOL51560,CATHEDRAL HIGH SCHOOL,Los Angeles,Los Angeles,App,78,,78,
CATHEDRAL HIGH SCHOOL51560,CATHEDRAL HIGH SCHOOL,Los Angeles,Los Angeles,Adm,35,,35,
CATHEDRAL HIGH SCHOOL51560,CATHEDRAL HIGH SCHOOL,Los Angeles,Los Angeles,Enr,12,,12,
CENTRAL CATHOLIC HIGH SCHOOL51982,CENTRAL CATHOLIC HIGH SCHOOL,Modesto,Stanislaus,App,39,21,18,
CENTRAL CATHOLIC HIGH SCHOOL51982,CENTRAL CATHOLIC HIGH SCHOOL,Modesto,Stanislaus,Adm,23,13,10,
CENTRAL CATHOLIC HIGH SCHOOL51982,CENTRAL CATHOLIC HIGH SCHOOL,Modesto,Stanislaus,Enr,7,4,3,
CENTRAL VALLEY CHRISTIAN ACAD51995,CENTRAL VALLEY CHRISTIAN ACAD,Ceres,Stanislaus,App,6,,,
CENTRAL VALLEY CHRISTIAN ACAD51995,CENTRAL VALLEY CHRISTIAN ACAD,Ceres,Stanislaus,Adm,3,,,
CENTRAL VALLEY CHRISTIAN HS53661,CENTRAL VALLEY CHRISTIAN HS,Visalia,Tulare,App,9,6,,
CENTRAL VALLEY CHRISTIAN HS53661,CENTRAL VALLEY CHRISTIAN HS,Visalia,Tulare,Adm,6,4,,
CHADWICK SCHOOL52680,CHADWICK SCHOOL,Palos Verdes Estate,Los Angeles,App,60,28,31,
