Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
BISHOPS SCHOOL51330,BISHOPS SCHOOL,La Jolla,San Diego,Enr,19,9,10,
BRADSHAW CHRISTIAN SCHOOL53877,BRADSHAW CHRISTIAN SCHOOL,Sacramento,Sacramento,App,13,6,6,
BRADSHAW CHRISTIAN SCHOOL53877,BRADSHAW CHRISTIAN SCHOOL,Sacramento,Sacramento,Adm,7,3,4,
BRADSHAW CHRISTIAN SCHOOL53877,BRADSHAW CHRISTIAN SCHOOL,Sacramento,Sacramento,Enr,3,,,
BRANSON SCHOOL52695,BRANSON SCHOOL,Ross,Marin,App,33,19,14,
BRANSON SCHOOL52695,BRANSON SCHOOL,Ross,Marin,Adm,16,8,8,
BRANSON SCHOOL52695,BRANSON SCHOOL,Ross,Marin,Enr,8,5,3,
BRENTWOOD SCHOOL51555,BRENTWOOD SCHOOL,Los Angeles,Los Angeles,App,62,31,31,
BRENTWOOD SCHOOL51555,BRENTWOOD SCHOOL,Los Angeles,Los Angeles,Adm,32,18,14,
BRENTWOOD SCHOOL51555,BRENTWOOD SCHOOL,Los Angeles,Los Angeles,Enr,10,7,3,
BRETHREN CHRISTIAN HIGH SCHOOL52363,BRETHREN CHRISTIAN HIGH SCHOOL,Huntington Beach,Orange,App,22,11,9,
BRETHREN CHRISTIAN HIGH SCHOOL52363,BRETHREN CHRISTIAN HIGH SCHOOL,Huntington Beach,Orange,Adm,15,8,6,
BRETHREN CHRISTIAN HIGH SCHOOL52363,BRETHREN CHRISTIAN HIGH SCHOOL,Huntington Beach,Orange,Enr,5,,,
BRIDGES ACADEMY50859,BRIDGES ACADEMY,Studio City,Los Angeles,App,7,,6,
BRIDGES ACADEMY50859,BRIDGES ACADEMY,Studio City,Los Angeles,Adm,7,,6,
BRIDGES ACADEMY50859,BRIDGES ACADEMY,Studio City,Los Angeles,Enr,3,,,
BROOKSIDE CHRISTIAN HS53431,BROOKSIDE CHRISTIAN HS,Stockton,San Joaquin,App,10,5,5,
BUCKLEY SCHOOL51628,BUCKLEY SCHOOL,Sherman Oaks,Los Angeles,App,63,40,22,
BUCKLEY SCHOOL51628,BUCKLEY SCHOOL,Sherman Oaks,Los Angeles,Adm,39,24,15,
BUCKLEY SCHOOL51628,BUCKLEY SCHOOL,Sherman Oaks,Los Angeles,Enr,10,8,,
CAL COAST ACADEMY53836,CAL COAST ACADEMY,San Diego,San Diego,App,7,,5,
CAL COAST ACADEMY53836,CAL COAST ACADEMY,San Diego,San Diego,Adm,6,,4,
CAL COAST ACADEMY53836,CAL COAST ACADEMY,San Diego,San Diego,Enr,4,,,
CALIFORNIA CROSSPOINT HIGH SCHOOL52191,CALIFORNIA CROSSPOINT HIGH SCHOOL,Hayward,Alameda,App,23,11,12,
CALIFORNIA CROSSPOINT HIGH SCHOOL52191,CALIFORNIA CROSSPOINT HIGH SCHOOL,Hayward,Alameda,Adm,17,9,8,
CALIFORNIA CROSSPOINT HIGH SCHOOL52191,CALIFORNIA CROSSPOINT HIGH SCHOOL,Hayward,Alameda,Enr,7,3,4,
CALIFORNIA UNIVERSITY PREP SCH52941,CALIFORNIA UNIVERSITY PREP SCH,Rowland Heights,Los Angeles,App,13,6,6,
CALIFORNIA UNIVERSITY PREP SCH52941,CALIFORNIA UNIVERSITY PREP SCH,Rowland Heights,Los Angeles,Adm,8,3,5,
CALIFORNIA UNIVERSITY PREP SCH52941,CALIFORNIA UNIVERSITY PREP SCH,Rowland Heights,Los Angeles,Enr,4,,4,
CALVARY CHAPEL HIGH SCHOOL50768,CALVARY CHAPEL HIGH SCHOOL,Downey,Los Angeles,App,14,10,,
CALVARY CHAPEL HIGH SCHOOL50768,CALVARY CHAPEL HIGH SCHOOL,Downey,Los Angeles,Adm,10,7,3,
CALVARY CHAPEL HIGH SCHOOL50768,CALVARY CHAPEL HIGH SCHOOL,Downey,Los Angeles,Enr,4,3,,
CALVARY CHAPEL HIGH SCHOOL53251,CALVARY CHAPEL HIGH SCHOOL,Santa Ana,Orange,App,26,7,19,
CALVARY CHAPEL HIGH SCHOOL53251,CALVARY CHAPEL HIGH SCHOOL,Santa Ana,Orange,Adm,12,,11,
CALVARY CHAPEL HIGH SCHOOL53251,CALVARY CHAPEL HIGH SCHOOL,Santa Ana,Orange,Enr,8,,8,
CALVARY MURRIETA CHRISTIAN SCH52104,CALVARY MURRIETA CHRISTIAN SCH,Murrieta,Riverside,App,19,6,13,
CALVARY MURRIETA CHRISTIAN SCH52104,CALVARY MURRIETA CHRISTIAN SCH,Murrieta,Riverside,Adm,13,4,9,
CALVARY MURRIETA CHRISTIAN SCH52104,CALVARY MURRIETA CHRISTIAN SCH,Murrieta,Riverside,Enr,5,,4,
CALVIN CHRISTIAN HIGH SCHOOL50876,CALVIN CHRISTIAN HIGH SCHOOL,Escondido,San Diego,App,9,5,,
CALVIN CHRISTIAN HIGH SCHOOL50876,CALVIN CHRISTIAN HIGH SCHOOL,Escondido,San Diego,Adm,5,3,,
CAMBRIAN ACADEMY54297,CAMBRIAN ACADEMY,San Jose,Santa Clara,App,6,,,
CAMBRIAN ACADEMY54297,CAMBRIAN ACADEMY,San Jose,Santa Clara,Adm,3,,,
CAMBRIDGE INTRNTL PREP SCHOOL52937,CAMBRIDGE INTRNTL PREP SCHOOL,San Francisco,San Francisco,App,11,,7,
CAMBRIDGE INTRNTL PREP SCHOOL52937,CAMBRIDGE INTRNTL PREP SCHOOL,San Francisco,San Francisco,Adm,4,,3,
