Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
CALVARY CHAPEL HIGH SCHOOL50768,CALVARY CHAPEL HIGH SCHOOL,Downey,Los Angeles,Enr,5,4,
CALVARY CHAPEL HIGH SCHOOL53251,CALVARY CHAPEL HIGH SCHOOL,Santa Ana,Orange,App,22,8,13
CALVARY CHAPEL HIGH SCHOOL53251,CALVARY CHAPEL HIGH SCHOOL,Santa Ana,Orange,Adm,11,3,8
CALVARY CHAPEL HIGH SCHOOL53251,CALVARY CHAPEL HIGH SCHOOL,Santa Ana,Orange,Enr,9,,7
CALVARY CHRISTIAN ACADEMY53840,CALVARY CHRISTIAN ACADEMY,Chula Vista,San Diego,App,7,,
CALVARY MURRIETA CHRISTIAN SCH52104,CALVARY MURRIETA CHRISTIAN SCH,Murrieta,Riverside,App,14,8,6
CALVARY MURRIETA CHRISTIAN SCH52104,CALVARY MURRIETA CHRISTIAN SCH,Murrieta,Riverside,Adm,8,5,3
CALVARY MURRIETA CHRISTIAN SCH52104,CALVARY MURRIETA CHRISTIAN SCH,Murrieta,Riverside,Enr,4,,3
CALVIN CHRISTIAN HIGH SCHOOL50876,CALVIN CHRISTIAN HIGH SCHOOL,Escondido,San Diego,App,7,,
CALVIN CHRISTIAN HIGH SCHOOL50876,CALVIN CHRISTIAN HIGH SCHOOL,Escondido,San Diego,Adm,5,,3
CALVIN CHRISTIAN HIGH SCHOOL50876,CALVIN CHRISTIAN HIGH SCHOOL,Escondido,San Diego,Enr,3,,
CAMBRIAN ACADEMY54297,CAMBRIAN ACADEMY,San Jose,Santa Clara,App,7,,
CAMBRIAN ACADEMY54297,CAMBRIAN ACADEMY,San Jose,Santa Clara,Adm,6,4,
CAMBRIAN ACADEMY54297,CAMBRIAN ACADEMY,San Jose,Santa Clara,Enr,5,3,
CAMBRIDGE INTRNTL PREP SCHOOL52937,CAMBRIDGE INTRNTL PREP SCHOOL,San Francisco,San Francisco,App,10,,7
CAMBRIDGE INTRNTL PREP SCHOOL52937,CAMBRIDGE INTRNTL PREP SCHOOL,San Francisco,San Francisco,Adm,8,3,5
CAMBRIDGE INTRNTL PREP SCHOOL52937,CAMBRIDGE INTRNTL PREP SCHOOL,San Francisco,San Francisco,Enr,6,,4
CAMBRIDGE SCHOOL54785,CAMBRIDGE SCHOOL,San Diego,San Diego,App,6,,
CAMBRIDGE SCHOOL54785,CAMBRIDGE SCHOOL,San Diego,San Diego,Adm,6,,4
CAMPBELL HALL52133,CAMPBELL HALL,Studio City,Los Angeles,App,75,34,40
CAMPBELL HALL52133,CAMPBELL HALL,Studio City,Los Angeles,Adm,48,15,32
CAMPBELL HALL52133,CAMPBELL HALL,Studio City,Los Angeles,Enr,20,8,12
CANTWELL/SACRED HEART MARY HS52020,CANTWELL/SACRED HEART MARY HS,Montebello,Los Angeles,App,43,24,19
CANTWELL/SACRED HEART MARY HS52020,CANTWELL/SACRED HEART MARY HS,Montebello,Los Angeles,Adm,24,12,12
CANTWELL/SACRED HEART MARY HS52020,CANTWELL/SACRED HEART MARY HS,Montebello,Los Angeles,Enr,14,7,7
CAPISTRANO VALLEY CHRSTN SCH53114,CAPISTRANO VALLEY CHRSTN SCH,San Juan Capistrano,Orange,App,14,8,6
CAPISTRANO VALLEY CHRSTN SCH53114,CAPISTRANO VALLEY CHRSTN SCH,San Juan Capistrano,Orange,Adm,11,7,4
CAPISTRANO VALLEY CHRSTN SCH53114,CAPISTRANO VALLEY CHRSTN SCH,San Juan Capistrano,Orange,Enr,6,3,3
CAPITAL CHRISTIAN HIGH SCHOOL52708,CAPITAL CHRISTIAN HIGH SCHOOL,Sacramento,Sacramento,App,26,12,14
CAPITAL CHRISTIAN HIGH SCHOOL52708,CAPITAL CHRISTIAN HIGH SCHOOL,Sacramento,Sacramento,Adm,19,10,9
CAPITAL CHRISTIAN HIGH SCHOOL52708,CAPITAL CHRISTIAN HIGH SCHOOL,Sacramento,Sacramento,Enr,13,6,7
CARDINAL NEWMAN HIGH SCHOOL53326,CARDINAL NEWMAN HIGH SCHOOL,Santa Rosa,Sonoma,App,64,26,38
CARDINAL NEWMAN HIGH SCHOOL53326,CARDINAL NEWMAN HIGH SCHOOL,Santa Rosa,Sonoma,Adm,33,12,21
CARDINAL NEWMAN HIGH SCHOOL53326,CARDINAL NEWMAN HIGH SCHOOL,Santa Rosa,Sonoma,Enr,13,6,7
CARNEGIE SCHOOLS RIVERSIDE52671,CARNEGIE SCHOOLS RIVERSIDE,Riverside,Riverside,App,21,11,10
CARNEGIE SCHOOLS RIVERSIDE52671,CARNEGIE SCHOOLS RIVERSIDE,Riverside,Riverside,Adm,17,10,7
CARNEGIE SCHOOLS RIVERSIDE52671,CARNEGIE SCHOOLS RIVERSIDE,Riverside,Riverside,Enr,10,4,6
CARONDELET HIGH SCHOOL50656,CARONDELET HIGH SCHOOL,Concord,Contra Costa,App,77,74,
CARONDELET HIGH SCHOOL50656,CARONDELET HIGH SCHOOL,Concord,Contra Costa,Adm,41,40,
CARONDELET HIGH SCHOOL50656,CARONDELET HIGH SCHOOL,Concord,Contra Costa,Enr,20,20,
CASTILLEJA SCHOOL52330,CASTILLEJA SCHOOL,Palo Alto,Santa Clara,App,41,38,
CASTILLEJA SCHOOL52330,CASTILLEJA SCHOOL,Palo Alto,Santa Clara,Adm,32,30,
CASTILLEJA SCHOOL52330,CASTILLEJA SCHOOL,Palo Alto,Santa Clara,Enr,8,8,
