Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
ANAHUACALMECAC INTRL UNIV PREP54332,ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,App,5,,,
ANAHUACALMECAC INTRL UNIV PREP54332,ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,Adm,4,3,,
ANALY HIGH SCHOOL53345,ANALY HIGH SCHOOL,Sebastopol,Sonoma,App,49,35,14,
ANALY HIGH SCHOOL53345,ANALY HIGH SCHOOL,Sebastopol,Sonoma,Adm,34,24,10,
ANALY HIGH SCHOOL53345,ANALY HIGH SCHOOL,Sebastopol,Sonoma,Enr,14,11,3,
ANDERSON UNION HIGH SCHOOL50095,ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,App,6,,,
ANDERSON UNION HIGH SCHOOL50095,ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,Adm,6,3,3,
ANDERSON UNION HIGH SCHOOL50095,ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,Enr,3,,,
ANDERSON VALLEY JR SR HS50355,ANDERSON VALLEY JR SR HS,Boonville,Mendocino,App,6,,,
ANDERSON VALLEY JR SR HS50355,ANDERSON VALLEY JR SR HS,Boonville,Mendocino,Adm,5,3,,
ANDERSON VALLEY JR SR HS50355,ANDERSON VALLEY JR SR HS,Boonville,Mendocino,Enr,3,,,
ANDREW P HILL HIGH SCHOOL53077,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,App,78,46,32,
ANDREW P HILL HIGH SCHOOL53077,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,Adm,54,31,23,
ANDREW P HILL HIGH SCHOOL53077,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,Enr,26,18,8,
ANGELO RODRIGUEZ HIGH SCHOOL50919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,App,94,61,33,
ANGELO RODRIGUEZ HIGH SCHOOL50919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,Adm,61,43,18,
ANGELO RODRIGUEZ HIGH SCHOOL50919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,Enr,36,24,12,
ANIMO COLLEGE PREP ACADEMY54569,ANIMO COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,App,24,15,9,
ANIMO COLLEGE PREP ACADEMY54569,ANIMO COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,Adm,16,11,5,
ANIMO COLLEGE PREP ACADEMY54569,ANIMO COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,Enr,8,4,4,
ANIMO INGLEWOOD CHARTER HS51255,ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,App,49,35,14,
ANIMO INGLEWOOD CHARTER HS51255,ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,Adm,34,24,10,
ANIMO INGLEWOOD CHARTER HS51255,ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,Enr,12,8,4,
ANIMO JACKIE ROBINSON CHRT SCH54199,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,App,84,49,32,
ANIMO JACKIE ROBINSON CHRT SCH54199,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,Adm,38,27,10,
ANIMO JACKIE ROBINSON CHRT SCH54199,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,Enr,24,18,6,
ANIMO LEADERSHIP CHARTER HS51257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,App,96,60,36,
ANIMO LEADERSHIP CHARTER HS51257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,Adm,68,42,26,
ANIMO LEADERSHIP CHARTER HS51257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,Enr,33,22,11,
